date,predator,cmbslifestage,density,replicate,eaten,notes
7/12/2022,scaledestroyerbeetle,crawlers,1,2,,SDB dead
7/12/2022,scaledestroyerbeetle,crawlers,1,3,1,
7/12/2022,scaledestroyerbeetle,crawlers,1,4,1,
7/12/2022,scaledestroyerbeetle,crawlers,1,5,1,
7/12/2022,scaledestroyerbeetle,crawlers,2,3,2,
7/12/2022,scaledestroyerbeetle,crawlers,2,4,1,
7/12/2022,scaledestroyerbeetle,crawlers,2,5,0,
7/12/2022,scaledestroyerbeetle,crawlers,3,3,3,
7/12/2022,scaledestroyerbeetle,crawlers,3,4,3,
7/12/2022,scaledestroyerbeetle,crawlers,3,5,3,
7/12/2022,scaledestroyerbeetle,crawlers,4,2,3,
7/12/2022,scaledestroyerbeetle,crawlers,4,3,4,
7/12/2022,scaledestroyerbeetle,crawlers,4,4,4,
7/12/2022,scaledestroyerbeetle,crawlers,4,5,4,
7/12/2022,scaledestroyerbeetle,crawlers,5,2,5,
7/12/2022,scaledestroyerbeetle,crawlers,5,3,5,
7/12/2022,scaledestroyerbeetle,crawlers,5,4,5,
7/12/2022,scaledestroyerbeetle,crawlers,5,5,5,
7/21/2022,scaledestroyerbeetle,crawlers,25,,25,
7/12/2022,scaledestroyerbeetle,eggs,20,2,12,
7/12/2022,scaledestroyerbeetle,eggs,20,3,16,
7/12/2022,scaledestroyerbeetle,eggs,20,4,20,
7/12/2022,scaledestroyerbeetle,eggs,20,5,17,
7/12/2022,scaledestroyerbeetle,eggs,25,2,4,
7/12/2022,scaledestroyerbeetle,eggs,25,3,25,
7/12/2022,scaledestroyerbeetle,eggs,25,4,23,
7/12/2022,scaledestroyerbeetle,eggs,25,5,20,
7/12/2022,scaledestroyerbeetle,eggs,30,2,21,
7/12/2022,scaledestroyerbeetle,eggs,30,3,27,
7/12/2022,scaledestroyerbeetle,eggs,30,4,8,
7/12/2022,scaledestroyerbeetle,eggs,30,5,26,
7/12/2022,scaledestroyerbeetle,ovisacs ,1,2,0,
7/12/2022,scaledestroyerbeetle,ovisacs ,1,3,0,
7/12/2022,scaledestroyerbeetle,ovisacs ,1,4,0,AC
7/12/2022,scaledestroyerbeetle,ovisacs ,1,5,0,AC
7/12/2022,scaledestroyerbeetle,ovisacs ,2,2,1,
7/12/2022,scaledestroyerbeetle,ovisacs ,2,3,0,
7/12/2022,scaledestroyerbeetle,ovisacs ,2,4,0,
7/12/2022,scaledestroyerbeetle,ovisacs ,2,5,0,AC
7/12/2022,scaledestroyerbeetle,ovisacs ,3,2,0,
7/12/2022,scaledestroyerbeetle,ovisacs ,3,3,0,
7/12/2022,scaledestroyerbeetle,ovisacs ,3,4,2,
7/12/2022,scaledestroyerbeetle,ovisacs ,3,5,1,
7/12/2022,scaledestroyerbeetle,ovisacs ,4,2,2,
7/12/2022,scaledestroyerbeetle,ovisacs ,3,2,1,
7/12/2022,scaledestroyerbeetle,ovisacs ,4,4,,SDB dead
7/12/2022,scaledestroyerbeetle,ovisacs ,4,5,1,AC
7/12/2022,scaledestroyerbeetle,ovisacs ,5,2,1,
7/12/2022,scaledestroyerbeetle,ovisacs ,5,3,1,
7/12/2022,scaledestroyerbeetle,ovisacs ,5,4,1,
7/12/2022,scaledestroyerbeetle,ovisacs ,5,5,1,
7/21/2022,scaledestroyerbeetle,eggs,10,1,10,
7/21/2022,scaledestroyerbeetle,eggs,6,2,6,
7/21/2022,scaledestroyerbeetle,eggs,3,3,3,
7/21/2022,scaledestroyerbeetle,eggs,29,4,29,
7/21/2022,scaledestroyerbeetle,eggs,7,5,7,
7/21/2022,scaledestroyerbeetle,eggs,32,6,32,
7/21/2022,scaledestroyerbeetle,eggs,36,7,36,
7/21/2022,scaledestroyerbeetle,eggs,42,8,42,
7/21/2022,scaledestroyerbeetle,eggs,6,9,6,
7/21/2022,scaledestroyerbeetle,eggs,26,10,26,
7/21/2022,scaledestroyerbeetle,eggs,48,11,48,
7/21/2022,scaledestroyerbeetle,eggs,50,12,50,
7/21/2022,scaledestroyerbeetle,eggs,1,13,1,
7/21/2022,scaledestroyerbeetle,eggs,17,14,17,
7/21/2022,scaledestroyerbeetle,eggs,5,15,5,
7/21/2022,scaledestroyerbeetle,eggs,49,16,48,
7/21/2022,scaledestroyerbeetle,eggs,28,17,28,
7/21/2022,scaledestroyerbeetle,ovisacs,1,1,0,
7/21/2022,scaledestroyerbeetle,ovisacs,1,2,1,
7/21/2022,scaledestroyerbeetle,ovisacs,1,3,1,
7/21/2022,scaledestroyerbeetle,ovisacs,2,1,0,
7/21/2022,scaledestroyerbeetle,ovisacs,2,2,1,
7/21/2022,scaledestroyerbeetle,ovisacs,2,3,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,3,1,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,3,2,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,3,3,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,4,1,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,4,2,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,4,3,0,
7/21/2022,scaledestroyerbeetle,ovisacs,5,1,0,
7/21/2022,scaledestroyerbeetle,ovisacs,5,2,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,5,3,0,AC
7/21/2022,scaledestroyerbeetle,ovisacs,5,4,1,
7/21/2022,scaledestroyerbeetle,ovisacs,5,5,0,AC
8/5/2022,scaledestroyerbeetle,crawlers,25,,20,
8/5/2022,scaledestroyerbeetle,crawlers ,25,,9,
8/5/2022,scaledestroyerbeetle,crawlers ,18,1,18,
8/5/2022,scaledestroyerbeetle,crawlers ,8,3,8,
